iter	Passed	Remaining
0	22	7423
1	48	7977
2	75	8146
3	99	8040
4	123	8005
5	150	8086
6	169	7769
7	201	8046
8	226	8012
9	252	8031
10	276	7965
11	300	7918
12	323	7844
13	347	7792
14	372	7781
15	397	7755
16	421	7720
17	447	7709
18	474	7711
19	498	7683
20	522	7640
21	548	7625
22	566	7508
23	592	7504
24	605	7341
25	614	7138
26	636	7095
27	663	7111
28	689	7109
29	713	7087
30	737	7069
31	750	6938
32	762	6812
33	790	6835
34	798	6683
35	822	6669
36	847	6666
37	872	6657
38	899	6665
39	925	6662
40	948	6636
41	971	6613
42	996	6607
43	1021	6592
44	1045	6573
45	1072	6572
46	1097	6564
47	1122	6549
48	1148	6538
49	1173	6526
50	1199	6515
51	1225	6506
52	1252	6497
53	1277	6484
54	1305	6479
55	1327	6447
56	1354	6437
57	1381	6430
58	1408	6420
59	1434	6405
60	1458	6385
61	1485	6372
62	1512	6363
63	1537	6341
64	1563	6327
65	1588	6305
66	1612	6279
67	1637	6260
68	1659	6230
69	1683	6204
70	1709	6187
71	1733	6164
72	1757	6137
73	1784	6125
74	1811	6110
75	1835	6086
76	1862	6072
77	1889	6054
78	1913	6031
79	1938	6008
80	1965	5993
81	1992	5976
82	2017	5954
83	2044	5937
84	2070	5918
85	2094	5893
86	2118	5868
87	2146	5855
88	2175	5842
89	2200	5818
90	2226	5799
91	2251	5776
92	2278	5757
93	2302	5732
94	2327	5707
95	2352	5684
96	2379	5667
97	2404	5644
98	2432	5626
99	2458	5604
100	2483	5580
101	2508	5558
102	2536	5541
103	2562	5519
104	2587	5495
105	2611	5470
106	2636	5445
107	2661	5422
108	2686	5398
109	2710	5372
110	2739	5355
111	2763	5329
112	2788	5305
113	2814	5283
114	2842	5263
115	2868	5242
116	2894	5219
117	2918	5194
118	2941	5166
119	2967	5143
120	2992	5118
121	3017	5094
122	3040	5067
123	3064	5041
124	3088	5016
125	3112	4990
126	3136	4963
127	3165	4946
128	3190	4921
129	3215	4897
130	3239	4871
131	3265	4849
132	3292	4827
133	3319	4805
134	3343	4780
135	3368	4756
136	3394	4733
137	3421	4710
138	3445	4685
139	3471	4661
140	3497	4638
141	3521	4612
142	3546	4587
143	3574	4567
144	3600	4544
145	3625	4519
146	3653	4499
147	3680	4476
148	3705	4451
149	3732	4428
150	3757	4405
151	3782	4380
152	3808	4356
153	3834	4332
154	3859	4307
155	3885	4284
156	3911	4260
157	3937	4236
158	3964	4213
159	3988	4187
160	4013	4163
161	4038	4138
162	4065	4115
163	4091	4091
164	4115	4065
165	4141	4042
166	4170	4020
167	4195	3995
168	4221	3971
169	4245	3946
170	4270	3920
171	4296	3896
172	4321	3871
173	4346	3846
174	4370	3821
175	4397	3798
176	4421	3771
177	4446	3747
178	4467	3718
179	4494	3695
180	4520	3671
181	4545	3646
182	4571	3622
183	4595	3596
184	4622	3572
185	4648	3548
186	4674	3524
187	4698	3499
188	4724	3474
189	4748	3448
190	4774	3424
191	4797	3398
192	4823	3374
193	4847	3348
194	4870	3322
195	4897	3298
196	4922	3273
197	4950	3250
198	4976	3225
199	5000	3200
200	5025	3175
201	5051	3150
202	5077	3126
203	5103	3102
204	5130	3078
205	5157	3054
206	5182	3029
207	5210	3005
208	5235	2980
209	5263	2957
210	5291	2934
211	5316	2909
212	5343	2885
213	5369	2860
214	5395	2835
215	5422	2811
216	5447	2786
217	5476	2763
218	5503	2739
219	5530	2715
220	5556	2690
221	5582	2665
222	5609	2641
223	5636	2617
224	5662	2592
225	5688	2567
226	5714	2542
227	5738	2516
228	5766	2492
229	5794	2468
230	5820	2443
231	5847	2419
232	5872	2394
233	5904	2371
234	5950	2354
235	5977	2330
236	6003	2305
237	6033	2281
238	6059	2256
239	6085	2231
240	6109	2205
241	6136	2180
242	6162	2155
243	6189	2130
244	6215	2105
245	6241	2080
246	6266	2055
247	6294	2030
248	6320	2005
249	6344	1979
250	6371	1954
251	6396	1929
252	6420	1903
253	6446	1878
254	6475	1853
255	6501	1828
256	6525	1802
257	6553	1778
258	6579	1752
259	6606	1727
260	6631	1702
261	6658	1677
262	6685	1652
263	6711	1626
264	6735	1601
265	6760	1575
266	6785	1550
267	6812	1525
268	6838	1499
269	6864	1474
270	6891	1449
271	6915	1423
272	6940	1398
273	6964	1372
274	6989	1347
275	7014	1321
276	7039	1296
277	7066	1270
278	7090	1245
279	7116	1219
280	7142	1194
281	7167	1169
282	7194	1143
283	7222	1118
284	7248	1093
285	7278	1068
286	7305	1043
287	7331	1018
288	7359	993
289	7386	967
290	7416	942
291	7439	917
292	7467	892
293	7494	866
294	7523	841
295	7547	815
296	7573	790
297	7599	765
298	7626	739
299	7651	714
300	7677	688
301	7703	663
302	7731	637
303	7758	612
304	7785	587
305	7811	561
306	7837	536
307	7862	510
308	7892	485
309	7918	459
310	7947	434
311	7972	408
312	8002	383
313	8026	357
314	8054	332
315	8083	306
316	8110	281
317	8138	255
318	8165	230
319	8194	204
320	8220	179
321	8248	153
322	8279	128
323	8306	102
324	8331	76
325	8356	51
326	8383	25
327	8409	0
